STATSSA_Area_Code,Description,Main_Code
2011-177006032,Ballotsview,2011-177006
2011-761005001,Balmoral Estate,2011-761005
2011-578010001,Balmoral SP,2011-578010
2011-964002004,Balule Nature Reserve,2011-964002
2011-199025009,Balvenie,2011-199025
2011-580082001,Bambelentulo SP,2011-580082
2011-960062001,Bambeni SP,2011-960062
2011-987064001,Banareng SP,2011-987064
2011-292185001,Bandla SP,2011-292185
2011-505027001,Bandlane SP,2011-505027
2011-978034001,Bangalong SP,2011-978034
2011-542082001,Bangamanzi SP,2011-542082
2011-580030001,Bangamaya SP,2011-580030
2011-270178001,Bangani SP,2011-270178
2011-260127001,Bangilizwe SP,2011-260127
2011-584005001,Bangiswa SP,2011-584005
2011-582070001,Bangizwe SP,2011-582070
2011-291187001,Bangolosi SP,2011-291187
2011-583073001,Banjana SP,2011-583073
2011-868002024,Bankenveld Estate,2011-868002
2011-868010010,Bankfontein,2011-868010
2011-984046001,Bankfontein SP,2011-984046
2011-283039001,Bankies SP,2011-283039
2011-283010001,Bankini SP,2011-283010
2011-869002007,Banks Collieries,2011-869002
2011-386001001,Banksdrif SP,2011-386001
2011-199041007,Bantry Bay,2011-199041
2011-293278001,Bantubabi SP,2011-293278
2011-296196001,Bantubonke,2011-296196
2011-282229001,Banzi SP,2011-282229
2011-967004010,Baobab Tree Reserve,2011-967004
2011-969022002,Bapedi,2011-969022
2011-963002002,Ba-Phalaborwa  NU,2011-963002
2011-599185001,Baphehli SP,2011-599185
2011-664080001,Bapong SP,2011-664080
2011-661043001,Bapong SP,2011-661043
2011-797016002,Bapsfontein AH,2011-797016
2011-797016001,Bapsfontein SP,2011-797016
2011-199041081,Barbarossa,2011-199041
2011-798004030,Barbeque AH,2011-798004
2011-798004031,Barbeque Downs,2011-798004
2011-875006006,Barberton Ext 1,2011-875006
2011-875006007,Barberton Ext 2,2011-875006
2011-875006008,Barberton Ext 3,2011-875006
2011-875006003,Barberton Ext 4,2011-875006
2011-875006005,Barberton Ext 5,2011-875006
2011-875006002,Barberton Ext 6,2011-875006
2011-875006010,Barberton Nature Reserve,2011-875006
2011-875006009,Barberton Prison,2011-875006
2011-875006004,Barberton SP,2011-875006
2011-371004008,Barcelona,2011-371004
2011-199030003,Barcelona,2011-199030
2011-797010010,Bardene,2011-797010
2011-360005001,Bareki SP,2011-360005
2011-575027001,Barklieside SP,2011-575027
2011-287137005,Barkly East SP,2011-287137
2011-384013001,Barkly West SP,2011-384013
2011-798013052,Barlow Park,2011-798013
2011-578041001,Barofine SP,2011-578041
2011-274022001,Barracks SP,2011-274022
2011-285076001,Barracks SP,2011-285076
2011-599034007,Barrs Flats,2011-599034
2011-524010006,Barry Hertzog Park,2011-524010
2011-170001001,Barrydale SP,2011-170001
2011-266005001,Barsheba SP,2011-266005
2011-797010007,Bartlett,2011-797010
2011-584020002,Bartown,2011-584020
2011-797008015,Barvallen,2011-797008
2011-581130001,Basamlilo A SP,2011-581130
2011-581136001,Basamlilo B SP,2011-581136
2011-968104001,Basani,2011-968104
2011-966092001,Basani SP,2011-966092
