STATSSA_Area_Code,Description,Main_Code
2011-287046001,Rooiwal SP,2011-287046
2011-672028001,Rooiwal SP,2011-672028
2011-571025001,Rookdale SP,2011-571025
2011-797022031,Rookraal,2011-797022
2011-514024002,Roosboom SP,2011-514024
2011-199023002,Roosendal,2011-199023
2011-677006022,Roosheuwel,2011-677006
2011-984049001,Roossenekal SP,2011-984049
2011-969123001,Rora SP,2011-969123
2011-760008008,Rosashof AH,2011-760008
2011-797008036,Rose Deep,2011-797008
2011-514018011,Rose Park,2011-514018
2011-798015151,Roseacre,2011-798015
2011-798016065,Rosebank,2011-798016
2011-199041028,Rosebank,2011-199041
2011-199035020,Rosedale,2011-199035
2011-299003004,Rosedale,2011-299003
2011-268003003,Rosedale,2011-268003
2011-199017027,Rosedale Estate,2011-199017
2011-379002010,Rosedale Ext 1,2011-379002
2011-379002011,Rosedale Ext 2,2011-379002
2011-260113041,Rosedale Park,2011-260113
2011-177006027,Rosemoor,2011-177006
2011-260113075,Rosemount,2011-260113
2011-260135001,Rosendal SP,2011-260135
2011-579004001,Rosendal SP,2011-579004
2011-470009001,Rosendal SP,2011-470009
2011-199016012,Rosendal(Bellville),2011-199016
2011-199013016,Rosendal(Table View),2011-199013
2011-599193001,Roseneath SP,2011-599193
2011-164005001,Rosenhof SP,2011-164005
2011-199016013,Rosenpark,2011-199016
2011-564009001,Rosetta SP,2011-564009
2011-798015176,Rosettenville,2011-798015
2011-503074001,Rosettenville SP,2011-503074
2011-799035051,Roseville,2011-799035
2011-760009011,Roshasia,2011-760009
2011-798015145,Rosherville,2011-798015
2011-760009009,Roshnee,2011-760009
2011-467004003,Ross Kent North,2011-467004
2011-467004009,Ross Kent South,2011-467004
2011-799037002,Rosslyn,2011-799037
2011-799037001,Rosslyn Industrial,2011-799037
2011-798015097,Rossmore,2011-798015
2011-287138001,Rossouw SP,2011-287138
2011-986003001,Rostok SP,2011-986003
2011-761006022,Rothdene,2011-761006
2011-961022001,Rotterdam SP,2011-961022
2011-199045048,Roundhay,2011-199045
2011-799059011,Route 21 Business Park,2011-799059
2011-168007006,Roux Park,2011-168007
2011-199020005,Rouxville,2011-199020
2011-798015053,Rouxville,2011-798015
2011-462007002,Rouxville SP,2011-462007
2011-299007052,Rowallan Park,2011-299007
2011-360113001,Rowel SP,2011-360113
2011-797018015,Rowhill,2011-797018
2011-276093001,Roxeni SP,2011-276093
2011-199041076,Royal Cape,2011-199041
2011-592036001,Royal Palm Estate SP,2011-592036
2011-383006050,Royldene,2011-383006
2011-969009002,Royston,2011-969009
2011-199038006,RR Section,2011-199038
2011-799059074,Rua Vista,2011-799059
2011-199014022,Rugby,2011-199014
2011-378021001,Rugseer,2011-378021
2011-664062001,Ruighoek Mine,2011-664062
2011-574007001,Ruigtefontein SP,2011-574007
2011-660009001,Ruigtesloot SP,2011-660009
2011-798022009,Ruimsig,2011-798022
2011-798022011,Ruimsig AH,2011-798022
2011-763004011,Ruimsig Country Estate,2011-763004
2011-763004010,Ruimsig Noord,2011-763004
2011-573041001,Ruins SP,2011-573041
2011-798016033,Ruiterhof,2011-798016
2011-176001001,Ruitersbos State Forest SP,2011-176001
2011-199017008,Ruitershoogte,2011-199017
2011-678001001,Rulaganyang SP,2011-678001
2011-877112001,Rulani SP,2011-877112
2011-294250001,Rune SP,2011-294250
2011-199016085,Runkel Blv,2011-199016
2011-274096001,Runletts SP,2011-274096
2011-962016001,Runnymede,2011-962016
2011-274072001,Rura SP,2011-274072
2011-199036001,Russel`s Rest,2011-199036
2011-981008001,Rust De Winter SP,2011-981008
2011-760009013,Rust Ter Vaal,2011-760009
2011-199022014,Rustdal,2011-199022
2011-199029013,Rustdale,2011-199029
2011-183008001,Rustdene SP,2011-183008
2011-674061001,Rusten SP,2011-674061
2011-662049008,Rustenburg Correctional Services,2011-662049
2011-662049001,Rustenburg Industrial,2011-662049
2011-662049016,Rustenburg Nature Reserve,2011-662049
2011-662049004,Rustenburg North,2011-662049
2011-662010006,Rustenburg NU,2011-662010
2011-662049006,Rustenburg Oos-Einde,2011-662049
2011-662049007,Rustenburg Platinum Mine,2011-662049
2011-664018001,Rustenburg Platinum Mine,2011-664018
2011-662049009,Rustenburg Rural,2011-662049
2011-662049005,Rustenburg SP,2011-662049
2011-199041075,Rust-En-Vrede,2011-199041
2011-499032001,Rustfontein Nature Reserve SP,2011-499032
2011-199047018,Rusthof,2011-199047
2011-962048005,Rustic Estate,2011-962048
2011-760008051,Rusticana AH,2011-760008
2011-797008014,Rustivia,2011-797008
2011-526029001,Rutland SP,2011-526029
2011-199019025,Ruwari,2011-199019
2011-199026011,Ruyterwacht,2011-199026
2011-271119001,Rwantsana A SP,2011-271119
2011-271315001,Rwantsana B SP,2011-271315
2011-282024001,Rwantsana SP,2011-282024
2011-283193001,Rwantsana SP,2011-283193
2011-290010001,Rwantsana SP,2011-290010
2011-271493001,Rwantsane SP,2011-271493
2011-276073001,Rwarwa SP,2011-276073
2011-599051021,Rydalvale,2011-599051
2011-199029018,Rylands,2011-199029
2011-797011032,Rynfield,2011-797011
2011-797011020,Rynfield AH,2011-797011
2011-797011051,Rynsoord,2011-797011
2011-797022029,S A Land Exploration Co Gold Mine,2011-797022
2011-673001001,S.A. Lombard Nature Reserve,2011-673001
2011-467010002,Saaiplaas,2011-467010
2011-984047001,Saaiplaas SP,2011-984047
2011-599034016,Saana Township,2011-599034
2011-282335001,Sabalele SP,2011-282335
2011-589130001,Sabeka SP,2011-589130
2011-290039001,Sabelo SP,2011-290039
2011-369004001,Sabelo SP,2011-369004
2011-587015001,Sabhuza SP,2011-587015
2011-877092005,Sabi Sabi Game Reserve SP,2011-877092
2011-877136001,Sabie Park SP,2011-877136
2011-873009002,Sabie SP,2011-873009
2011-877092001,Sabi-Sand Game Reserve SP,2011-877092
2011-799041001,Sable Hills Waterfront Estate SP,2011-799041
2011-199016093,Sacks Circle Industrial,2011-199016
2011-281067003,Sada Unit 1,2011-281067
2011-281067001,Sada Unit 2,2011-281067
2011-964026001,Sadawa SP,2011-964026
2011-798004012,Saddlebrook Estate,2011-798004
2011-969108001,Sadu,2011-969108
2011-662049012,Safari Tuine,2011-662049
2011-599196002,Saiccor,2011-599196
2011-797008016,Saint Andrews,2011-797008
2011-199050011,Saint James,2011-199050
2011-529037001,Saint Paul SP,2011-529037
2011-563009005,Sakabula Golf & Country Estate,2011-563009
2011-294285001,Sakela SP,2011-294285
2011-279002001,Sakhele isizwe,2011-279002
2011-870001001,Sakhelwe SP,2011-870001
2011-797031038,Sakhile,2011-797031
2011-864007001,Sakhile Ext 2,2011-864007
2011-864007003,Sakhile Ext 4,2011-864007
2011-864007002,Sakhile SP,2011-864007
2011-285002001,Sakhisizwe NU,2011-285002
2011-286141001,Sakhute SP,2011-286141
2011-276127001,Saki SP,2011-276127
2011-973020001,Sakoleng SP,2011-973020
2011-560063001,Salaap SP,2011-560063
2011-673002002,Salamat,2011-673002
2011-966218001,Salani SP,2011-966218
2011-968128001,Salaunavhe,2011-968128
2011-199025008,Salberau,2011-199025
2011-163002001,Saldanha Bay NU,2011-163002
2011-163008006,Saldanha Harbour,2011-163008
2011-163008003,Saldanha SP,2011-163008
2011-599143001,Salem SP,2011-599143
2011-666011001,Saleng SP,2011-666011
2011-298130001,Saleni SP,2011-298130
2011-797031034,Sali,2011-797031
2011-877010001,Salique State Forest SP,2011-877010
2011-299007119,Salisbury Park,2011-299007
2011-797022020,Sallies Village,2011-797022
2011-506053012,Salmon Bay,2011-506053
2011-172005003,Salmondam Nature Reserve,2011-172005
2011-542087001,Salofu SP,2011-542087
2011-299006008,Salsonville,2011-299006
2011-376002002,Salt Lake,2011-376002
2011-299006011,Salt Lake,2011-299006
2011-299006005,Salt Pan,2011-299006
2011-199041017,Salt River,2011-199041
2011-592043002,Salt Rock SP1,2011-592043
2011-592043003,Salt Rock SP2,2011-592043
2011-874011001,Salubindza SP,2011-874011
2011-799035131,Salvokop,2011-799035
2011-987002014,Samancor Tubatse Chrome Mine,2011-987002
2011-546014001,Samangu SP,2011-546014
2011-566001010,Samanville SP,2011-566001
2011-966008001,Sambandou SP,2011-966008
2011-799035069,Samcor Park,2011-799035
2011-968130008,Samdoba,2011-968130
2011-282027001,Samela SP,2011-282027
2011-271451001,Samini SP,2011-271451
2011-271459001,Samka SP,2011-271459
2011-576054001,Sampofu SP,2011-576054
2011-799059091,Samrand Business Park,2011-799059
2011-589114001,Samungu SP,2011-589114
2011-592026001,Samungu SP,2011-592026
2011-542126001,Samungu SP,2011-542126
2011-506052003,San Lameer,2011-506052
2011-199051005,San Michel,2011-199051
2011-199039015,San Remo,2011-199039
2011-965026001,Sanari SP,2011-965026
2011-561006005,Sanathan,2011-561006
2011-874006001,Sanbonani,2011-874006
2011-299006007,Sanctor,2011-299006
2011-172017002,Sand Bay SP,2011-172017
2011-199029031,Sand Industria,2011-199029
2011-467009016,Sandania,2011-467009
2011-363004001,Sanddrif SP,2011-363004
2011-269012001,Sanddrif SP,2011-269012
2011-199014020,Sanddrift,2011-199014
2011-460002001,Sandershoogte,2011-460002
2011-477010001,Sandersville SP,2011-477010
2011-667045001,SANDF Military Village,2011-667045
2011-599002003,Sandfields,2011-599002
2011-664066001,Sandfontein SP,2011-664066
2011-874001001,Sandfort SP,2011-874001
2011-798013057,Sandhurst,2011-798013
2011-284111001,Sandile SP,2011-284111
2011-260161001,Sandile SP,2011-260161
2011-260080001,Sandisiwe SP,2011-260080
2011-273108001,Sandla SP,2011-273108
2011-291070002,Sandlulube,2011-291070
2011-798013045,Sandown,2011-798013
2011-798015034,Sandringham,2011-798015
2011-281017012,Sandringham,2011-281017
2011-964025001,Sandton SP,2011-964025
2011-466001001,Sandveld Nature Reserve,2011-466001
2011-163001008,Sandy Point,2011-163001
2011-968012001,Sane SP,2011-968012
2011-597019001,Sangcwaba SP,2011-597019
2011-588017001,Sangoyana SP,2011-588017
2011-581058001,Sangoyane A SP,2011-581058
2011-581101001,Sangoyane B SP,2011-581101
2011-293032001,Sangqu SP,2011-293032
2011-593048001,Sangwana SP,2011-593048
2011-577028001,Sangweni SP,2011-577028
2011-588050001,Sangweyana SP,2011-588050
2011-294293001,Sankobe SP,2011-294293
2011-599119001,Sankontshe SP,2011-599119
2011-199016063,Sanlamhof,2011-199016
2011-666023001,Sannieshof SP,2011-666023
2011-592001001,Sans Souci SP,2011-592001
2011-260113072,Santa,2011-260113
2011-987099001,Santeng SP,2011-987099
2011-282348001,Santile SP,2011-282348
2011-293240001,Santini SP,2011-293240
2011-295243001,Santini SP,2011-295243
2011-295022001,Santombe SP,2011-295022
2011-296153001,Santombe SP,2011-296153
2011-176014006,Santos Bay,2011-176014
2011-285097001,Santyeni SP,2011-285097
2011-974125001,Sanyane SP,2011-974125
2011-566016004,Sanzwili,2011-566016
2011-296161001,Saphukanduka SP,2011-296161
2011-298022003,Saphukanduku SP,2011-298022
2011-293096001,Sapompolo SP,2011-293096
2011-599054067,Sapref,2011-599054
2011-286149001,Sapulanduko SP,2011-286149
2011-299002004,Sardinia Bay Nature Reserve,2011-299002
2011-199020013,Sarepta,2011-199020
2011-298009001,Sarhonqa SP,2011-298009
2011-599116020,Sarnia,2011-599116
2011-594038001,Sarnia state Forest A,2011-594038
2011-594038002,Sarnia State Forest B,2011-594038
2011-662025006,Saron,2011-662025
2011-166001001,Saron SP,2011-166001
2011-665011001,Sasane SP,2011-665011
2011-962055002,Sasekane,2011-962055
2011-966069001,Saselamani SP,2011-966069
2011-966062001,Saselemani,2011-966062
2011-866006022,Sasol Secunda,2011-866006
2011-478009016,Sasolburg Central,2011-478009
2011-478009014,Sasolburg Ext 1,2011-478009
2011-478009012,Sasolburg Ext 10,2011-478009
2011-478009011,Sasolburg Ext 11,2011-478009
2011-478009010,Sasolburg Ext 12,2011-478009
2011-478009009,Sasolburg Ext 15,2011-478009
2011-478009020,Sasolburg Ext 2,2011-478009
2011-478009008,Sasolburg Ext 23,2011-478009
2011-478009017,Sasolburg Ext 3,2011-478009
2011-478009007,Sasolburg Ext 4,2011-478009
2011-478009015,Sasolburg Ext 5,2011-478009
2011-478009019,Sasolburg Ext 6,2011-478009
2011-478009018,Sasolburg Industrial Zone 2,2011-478009
2011-478009013,Sasolburg SP,2011-478009
2011-760008028,Sassolbyl AH,2011-760008
2011-598205001,Satana SP,2011-598205
2011-961066001,Satlaleni SP,2011-961066
2011-797010033,Satmar,2011-797010
2011-862005001,Saul Mkhizeville SP,2011-862005
2011-799057001,Saulsville SP,2011-799057
2011-281058001,Sautana SP,2011-281058
2011-799035111,Savannah Country Estate,2011-799035
2011-798004003,Savannah Hills,2011-798004
2011-599116059,Savannah Park,2011-599116
2011-798015040,Savoy Estate,2011-798015
2011-594059001,Sawoti SP,2011-594059
2011-271015001,Sawutana A SP,2011-271015
2011-271013001,Sawutana B SP,2011-271013
2011-271388001,Sawutana SP,2011-271388
2011-294184001,Sawutini SP,2011-294184
2011-281069001,Sawutiya SP,2011-281069
2011-260113038,Saxilby,2011-260113
2011-199004001,Saxonsea,2011-199004
2011-798016081,Saxonwold,2011-798016
2011-260064001,Saye SP,2011-260064
2011-292256001,Sazinge SP,2011-292256
2011-293107001,Sbomvaneni SP,2011-293107
2011-297177001,Scambeni SP,2011-297177
2011-199056002,Scarborough SP,2011-199056
2011-260113035,Scenery Park,2011-260113
2011-963002006,Schalk SH,2011-963002
2011-299007029,Schauderville,2011-299007
2011-299003040,Scheepershoogte,2011-299003
2011-973008002,Schellenburg SP1,2011-973008
2011-973008001,Schellenburg SP2,2011-973008
2011-982102001,Scheming SP,2011-982102
2011-968091006,Schiel Farm,2011-968091
2011-968091005,Schielfarm,2011-968091
2011-376001001,Schmidtsdrif SP,2011-376001
2011-661047002,Schoemansville,2011-661047
2011-299007123,Schoenmakerskop,2011-299007
2011-477003001,Schonkenville SP,2011-477003
2011-970033001,Schoongelegen SP,2011-970033
2011-868003011,Schoongesicht,2011-868003
2011-761002011,Schoongezicht AH,2011-761002
2011-667067001,Schoongezicht SP2,2011-667067
2011-199017009,Schoongezight,2011-199017
2011-973019002,Schoonveld SP1,2011-973019
2011-973019001,Schoonveld SP2,2011-973019
2011-260044013,Schornville,2011-260044
2011-199041009,Schotschekloof,2011-199041
2011-378017002,Schroder,2011-378017
2011-982091001,Schuilpadkraal SP,2011-982091
2011-524010002,Schuinshoogte,2011-524010
2011-799059003,Schurwe Plaas Mine,2011-799059
2011-578031001,Schuzwekrans SP,2011-578031
2011-799035083,Scientia,2011-799035
2011-595011003,Scotston,2011-595011
2011-299007100,Scotstown,2011-299007
2011-199042009,Scott Estate,2011-199042
2011-264004014,Scott Farm,2011-264004
2011-561011003,Scottburgh South,2011-561011
2011-561011002,Scottburgh SP,2011-561011
2011-199018028,Scottsdene,2011-199018
2011-578037001,Scottshill SP,2011-578037
2011-199018023,Scottsville,2011-199018
2011-566003022,Scottsville,2011-566003
2011-566003039,Scottsville Ext,2011-566003
2011-284183001,Sdadeni SP,2011-284183
2011-293063001,Sdakeni SP,2011-293063
2011-285005001,Sdakeni SP,2011-285005
2011-542040001,Sdashi SP,2011-542040
2011-296086001,Sdikidini SP,2011-296086
2011-546060001,Sdoho SP,2011-546060
2011-199055006,Sea Breeze,2011-199055
2011-599054014,Sea Cow Lake,2011-599054
2011-506014004,Sea Park,2011-506014
2011-199041005,Sea Point,2011-199041
2011-260175001,Sea Vale SP,2011-260175
2011-599054035,Sea View,2011-599054
2011-177006037,Sea View,2011-177006
2011-268011001,Sea Vista,2011-268011
2011-872007001,Seabe SP,2011-872007
2011-265004001,Seafield SP,2011-265004
2011-986045001,Sealane SP,2011-986045
2011-987023001,Sealane SP,2011-987023
2011-961053001,Seaphole SP,2011-961053
2011-299012003,Seaview,2011-299012
2011-297327001,Seaview SP,2011-297327
2011-199041121,Seawinds,2011-199041
2011-669017001,Sebalagane,2011-669017
2011-974028004,Sebayeng,2011-974028
2011-974028005,Sebayeng A,2011-974028
2011-974028002,Sebayeng B,2011-974028
2011-974028003,Sebayeng D,2011-974028
2011-974028001,Sebayeng SP,2011-974028
2011-270643001,Sebeni SP,2011-270643
2011-298139001,Sebeni SP,2011-298139
2011-797007003,Sebenza,2011-797007
2011-798015019,Sebenza,2011-798015
2011-961073001,Sebepe SP,2011-961073
2011-765014001,Seberuberung SP,2011-765014
2011-985161002,Sebetha,2011-985161
2011-985048001,Sebetole SP,2011-985048
2011-361030001,Sebilong SP,2011-361030
2011-985029001,Sebithoni,2011-985029
2011-760004018,Sebokeng Hostels,2011-760004
2011-760004022,Sebokeng SP,2011-760004
2011-472030001,Sebokeng SP,2011-472030
2011-760004007,Sebokeng SP1,2011-760004
2011-760004016,Sebokeng Unit 10,2011-760004
2011-760004010,Sebokeng Unit 11,2011-760004
2011-760004009,Sebokeng Unit 12,2011-760004
2011-760004011,Sebokeng Unit 13,2011-760004
2011-760004017,Sebokeng Unit 14,2011-760004
2011-760004013,Sebokeng Unit 16,2011-760004
2011-760004019,Sebokeng Unit 17,2011-760004
2011-760004012,Sebokeng Unit 19,2011-760004
2011-760004021,Sebokeng Unit 20,2011-760004
2011-760004002,Sebokeng Unit 6,2011-760004
2011-760004005,Sebokeng Unit 7,2011-760004
2011-760004006,Sebokeng Unit 8,2011-760004
2011-974143001,Sebonapudi SP,2011-974143
2011-969068001,Seboriane SP,2011-969068
2011-667063001,Sebowana SP,2011-667063
2011-291168006,Second Beach,2011-291168
2011-260113071,Second Creek,2011-260113
2011-297295001,Section 21 SP,2011-297295
2011-866006006,Secunda Ext 10,2011-866006
2011-866006008,Secunda Ext 12,2011-866006
2011-866006018,Secunda Ext 13 & 32,2011-866006
2011-866006009,Secunda Ext 15,2011-866006
2011-866006015,Secunda Ext 16,2011-866006
2011-866006013,Secunda Ext 17,2011-866006
2011-866006016,Secunda Ext 18,2011-866006
2011-866006004,Secunda Ext 2,2011-866006
2011-866006020,Secunda Ext 20,2011-866006
2011-866006003,Secunda Ext 22,2011-866006
2011-866006017,Secunda EXt 28,2011-866006
2011-866006019,Secunda Ext 31,2011-866006
2011-866006005,Secunda Ext 6,2011-866006
2011-866006011,Secunda Ext 7,2011-866006
2011-866006007,Secunda Ext 8,2011-866006
2011-866006010,Secunda Ext 9,2011-866006
2011-866006021,Secunda SP 2,2011-866006
2011-866006002,Secunda SP 3,2011-866006
2011-866006012,Secunda SP1,2011-866006
2011-962074001,Sedan SP,2011-962074
2011-180007001,Sedgefield SP,2011-180007
2011-180007003,Sedgehill,2011-180007
2011-499011001,Sediba A SP,2011-499011
2011-499009001,Sediba B SP,2011-499009
2011-797005015,Sedibeng,2011-797005
2011-961015001,Sedibeng SP,2011-961015
2011-472054001,Sedibeng SP,2011-472054
2011-361001002,Sedibeng SP1,2011-361001
2011-361001001,Sedibeng SP2,2011-361001
2011-968069003,Sedzazwau,2011-968069
2011-868002010,Seekoei SH,2011-868002
2011-763001008,Seekoeihoek AH,2011-763001
2011-467009009,Seemeeu Park,2011-467009
2011-970072001,Sefahlane SP,2011-970072
2011-978036003,Sefateng,2011-978036
2011-986096001,Sefateng A SP1,2011-986096
2011-973027001,Sefene SP,2011-973027
2011-986017001,Sefeteng B SP2,2011-986017
2011-978001001,Sefetlhogo SP,2011-978001
2011-964016001,Sefikeng SP,2011-964016
2011-664019001,Sefikile SP,2011-664019
2011-961032002,Sefofosetse,2011-961032
2011-286007001,Seghobong SP,2011-286007
2011-872022001,Segokgo,2011-872022
2011-982039002,Segole SP1,2011-982039
2011-982039001,Segole SP2,2011-982039
2011-987021001,Segorong SP,2011-987021
2011-661039001,Segwaelane SP,2011-661039
2011-970087001,Segwahleng SP,2011-970087
2011-360046001,Segwaneng SP,2011-360046
2011-974095001,Segwasi SP,2011-974095
2011-987077001,Sehlaku SP,2011-987077
2011-871021001,Sehlakwana SP,2011-871021
2011-984035001,Sehlakwane SP,2011-984035
2011-987014001,Sehunyana SP,2011-987014
2011-974017004,Sehwibetsane,2011-974017
2011-475006005,Seisoville,2011-475006
2011-472065001,Sejwalejwale SP,2011-472065
2011-974124001,Sejweng,2011-974124
2011-798014009,Sejwetla,2011-798014
2011-973024001,Sekakene SP,2011-973024
2011-973002003,Sekakeng,2011-973002
2011-985008001,Sekale SP,2011-985008
2011-799008012,Sekampaneng,2011-799008
2011-799008011,Sekampaneng SP,2011-799008
2011-986071001,Sekateng SP,2011-986071
2011-598151001,Sekelani SP,2011-598151
2011-982122001,Sekgakgapeng SP,2011-982122
2011-664047002,Sekgakwane,2011-664047
2011-976071001,Sekgophokgophong SP,2011-976071
2011-961091001,Sekgopo SP,2011-961091
2011-961044001,Sekgoses SP,2011-961044
2011-961069001,Sekgothi,2011-961069
2011-472045001,Sekgutlong SP,2011-472045
2011-974134001,Sekgweng SP,2011-974134
2011-961037001,Sekhiming,2011-961037
2011-960057001,Sekhiming SP,2011-960057
2011-672056001,Sekhing SP,2011-672056
2011-986002004,Sekhukhune College,2011-986002
2011-969060001,Sekhung SP,2011-969060
2011-961078003,Sekhuteni,2011-961078
2011-295089001,Sekhutlong SP,2011-295089
2011-969073001,Sekiding SP,2011-969073
2011-976057001,Sekimming SP,2011-976057
2011-973026010,Sekonye,2011-973026
2011-985061001,Sekotini SP,2011-985061
2011-287059001,Sekotong SP,2011-287059
2011-877133001,Sekrepeng SP,2011-877133
2011-271408001,Seku SP,2011-271408
2011-982087001,Sekuruwe SP,2011-982087
2011-970008001,Sekuruwe SP,2011-970008
2011-283100001,Sekuyasa SP,2011-283100
2011-969026001,Sekwati SP,2011-969026
2011-986031001,Selape SP,2011-986031
2011-963002005,Selati Nature Reserve,2011-963002
2011-199016033,Selborne,2011-199016
2011-260113025,Selborne,2011-260113
2011-561011007,Selbourne Golf Estate,2011-561011
2011-799046006,Selbourne Site,2011-799046
2011-798015134,Selby,2011-798015
2011-797018045,Selcourt,2011-797018
2011-983033001,Selebaneng SP,2011-983033
2011-599049003,Selection Beach,2011-599049
2011-797018038,Selection Park,2011-797018
2011-291017001,Selekhulu SP,2011-291017
2011-660014001,Selepe SP,2011-660014
2011-173003004,Selfbou,2011-173003
2011-499028011,Selosesha,2011-499028
2011-499028007,Selosesha Ext 3,2011-499028
2011-985092001,Selowane SP,2011-985092
2011-969089001,Selowe SP,2011-969089
2011-291127001,Selwane SP,2011-291127
2011-798022051,Selwyn,2011-798022
2011-985091001,Semahlakole SP,2011-985091
2011-665007001,Semashu SP,2011-665007
2011-863002001,Seme NU,2011-863002
2011-296062004,Semeni,2011-296062
2011-872018001,Semohlase SP,2011-872018
2011-295199001,Semonkong SP,2011-295199
2011-985060001,Semonoko SP,2011-985060
2011-962001001,Senakwe SP,2011-962001
2011-798026084,Senaoane,2011-798026
2011-974074001,Sencherere SP,2011-974074
2011-968032001,Sendedza SP,2011-968032
2011-363001001,Sendelingsdrif SP,2011-363001
2011-797008017,Senderwood,2011-797008
2011-469003001,Senekal SP,2011-469003
2011-974060001,Sengatane SP,2011-974060
2011-294368001,Sengqe SP,2011-294368
2011-982040001,Senita SP,2011-982040
2011-594027001,Senkwanzela SP,2011-594027
2011-978017001,Senoela SP,2011-978017
2011-872012001,Senotlelo SP,2011-872012
2011-287005001,Senqu NU,2011-287005
2011-285094001,Senta SP,2011-285094
2011-987114001,Senthle SP,2011-987114
2011-598146001,Senti SP,2011-598146
2011-986016001,Sentlhane SP,2011-986016
2011-961028001,Senwamokgope SP,2011-961028
2011-361020001,Seoding SP,2011-361020
2011-672057002,Seoding SP1,2011-672057
2011-672057001,Seoding SP2,2011-672057
2011-986038001,Seokodibeng SP,2011-986038
2011-664055001,Seolong SP,2011-664055
2011-797005024,Seotloana,2011-797005
2011-970074001,Sepanapudi,2011-970074
2011-661006001,Sephai SP,2011-661006
2011-984012001,Sephaku SP,2011-984012
2011-973030003,Sephala,2011-973030
2011-982085001,Sepharane SP,2011-982085
2011-961108001,Sephatwene SP,2011-961108
2011-961019001,Sephukubje SP,2011-961019
2011-295194001,Seqhobong SP,2011-295194
2011-286004001,Seqhobong SP1,2011-286004
2011-571037001,Seqomeni SP,2011-571037
2011-987019001,Serafa SP,2011-987019
2011-985096001,Serageng SP,2011-985096
2011-662037001,Seraleng SP,2011-662037
2011-962089001,Serare SP,2011-962089
2011-199047021,Sercor Park,2011-199047
2011-797006002,Serengeti Golf And Wildlife Estate,2011-797006
2011-968122004,Sereni,2011-968122
2011-465005001,Seretse SP,2011-465005
2011-983038001,Seriteng SP,2011-983038
2011-970089001,Seroba SP,2011-970089
2011-976025001,Serobaneng SP,2011-976025
2011-282109001,Seru SP,2011-282109
2011-976085001,Seruleng SP,2011-976085
2011-662031001,Serutube SP,2011-662031
2011-969041009,Sesalong,2011-969041
2011-379002020,Ses-Brugge AH,2011-379002
2011-546015001,Sese SP,2011-546015
2011-797011003,Sesfontein AH,2011-797011
2011-974043010,"Seshego 9 (B,D,E,J,K)",2011-974043
2011-974043007,Seshego A,2011-974043
2011-974043006,Seshego B,2011-974043
2011-974043002,Seshego C,2011-974043
2011-974043004,Seshego D,2011-974043
2011-974043003,Seshego E,2011-974043
2011-974043001,Seshego F,2011-974043
2011-974043005,Seshego G,2011-974043
2011-974043009,Seshego H,2011-974043
2011-664093001,Seshibitswe SP,2011-664093
2011-664029001,Sesobe SP,2011-664029
2011-660047001,Sespond SP,2011-660047
2011-969048001,Sesuane SP,2011-969048
2011-286059001,Setabataba SP,2011-286059
2011-674005001,Setabeng SP,2011-674005
2011-977007001,Setaria,2011-977007
2011-985063001,Setase SP,2011-985063
2011-472022001,Setaseng SP,2011-472022
2011-961088001,Setaseng SP,2011-961088
2011-985152001,Setebong SP,2011-985152
2011-986052001,Seteneng SP,2011-986052
2011-961045002,Sethabane,2011-961045
2011-286009001,Sethathi SP,2011-286009
2011-797005014,Sethokga,2011-797005
2011-962020001,Sethone A SP,2011-962020
2011-962029001,Sethone B SP,2011-962029
2011-472058001,Setlabotjha SP,2011-472058
2011-665019001,Setlagole SP,2011-665019
2011-969112001,Setlaole SP,2011-969112
2011-665005002,Setlhabane,2011-665005
2011-877044001,Setlhake SP,2011-877044
2011-662033001,Setlhokwe SP,2011-662033
2011-665019002,Setlhwatlhwe,2011-665019
2011-969045001,Setloking SP,2011-969045
2011-667041001,Setlopo SP,2011-667041
2011-974073001,Setotolwane SP,2011-974073
2011-469002001,Setsoto NU,2011-469002
2011-981005001,Settlers SP,2011-981005
2011-286079003,Setube,2011-286079
2011-667022001,Setumo Park SP,2011-667022
2011-970058001,Setumong SP,2011-970058
2011-982017001,Setuphiline SP,2011-982017
2011-987060001,Seuwe SP,2011-987060
2011-271161008,Seven,2011-271161
2011-575084001,Seven SP,2011-575084
2011-983005002,Seven Stand,2011-983005
2011-599131001,Seventeen SP,2011-599131
2011-877045001,Seville A SP,2011-877045
2011-877055001,Seville B SP,2011-877055
2011-877040001,Seville C SP,2011-877040
2011-667031001,Seweding SP,2011-667031
2011-365012001,Sewendelaan,2011-365012
2011-271502001,Seyisi SP,2011-271502
2011-276015002,Seymour SP,2011-276015
2011-561015001,Sezela SP,2011-561015
2011-296034001,Sfolweni SP,2011-296034
2011-538015016,Sgisi,2011-538015
2011-862009010,Sgodiphola,2011-862009
2011-599152001,Sgubudwini SP,2011-599152
2011-569008002,Sgweje SP,2011-569008
2011-966034001,Shadani,2011-966034
2011-199045026,Shady Glen,2011-199045
2011-965055001,Shakadza SP,2011-965055
2011-592044001,Shakas Head,2011-592044
2011-592044004,Shaka's Rock,2011-592044
2011-592038001,Shakaskraal SP,2011-592038
2011-592012006,Shakaville,2011-592012
2011-987035001,Shakung SP,2011-987035
2011-661014001,Shakung SP,2011-661014
2011-672059001,Shaleng SP,2011-672059
2011-669036002,Shalimar Park,2011-669036
2011-599160004,Shallcross,2011-599160
